,client_ip,user,time,request,http_status,request_body_bytes,referer,user_agent
455,167.94.138.41,,2024-11-07 00:00:56,GET / HTTP/1.1,502,166,,Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/)
153828,167.94.145.107,,2024-11-07 08:40:55,GET / HTTP/1.1,302,29,,Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/)
153833,167.94.145.107,,2024-11-07 08:41:06,GET /login HTTP/1.1,200,6726,,Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/)
153834,167.94.145.107,,2024-11-07 08:41:07,GET /public/img/fav32.png HTTP/1.1,200,3607,,Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/)
153835,167.94.145.107,,2024-11-07 08:41:07,GET /public/img/apple-touch-icon.png HTTP/1.1,200,15718,,Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/)
153836,167.94.145.107,,2024-11-07 08:41:08,GET /favicon.ico HTTP/1.1,302,29,,Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/)
153837,167.94.145.107,,2024-11-07 08:41:08,GET /login HTTP/1.1,200,6726,https://192.69.182.54/favicon.ico,Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/)
153839,167.94.145.107,,2024-11-07 08:41:09,GET / HTTP/1.1,302,29,,Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/)
463701,167.94.138.62,,2024-11-07 22:47:19,GET / HTTP/1.1,301,178,,Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/)
463927,167.94.138.62,,2024-11-07 22:47:36,GET / HTTP/1.1,302,29,,Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/)
463986,199.45.154.136,,2024-11-07 22:47:42,GET / HTTP/1.1,302,29,,Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/)
464191,199.45.154.136,,2024-11-07 22:48:03,GET /login HTTP/1.1,200,6726,,Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/)
464234,199.45.154.136,,2024-11-07 22:48:05,GET /public/img/fav32.png HTTP/1.1,200,3607,,Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/)
464258,199.45.154.136,,2024-11-07 22:48:07,GET /public/img/apple-touch-icon.png HTTP/1.1,200,15718,,Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/)
464278,199.45.154.136,,2024-11-07 22:48:08,GET /favicon.ico HTTP/1.1,302,29,,Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/)
464288,199.45.154.136,,2024-11-07 22:48:10,GET /login HTTP/1.1,200,6726,https://192.69.182.54/favicon.ico,Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/)
464358,199.45.154.136,,2024-11-07 22:48:13,GET / HTTP/1.1,302,29,,Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/)
464487,167.94.138.62,,2024-11-07 22:48:25,GET /login HTTP/1.1,200,6726,,Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/)
464506,167.94.138.62,,2024-11-07 22:48:30,GET /public/img/fav32.png HTTP/1.1,200,3607,,Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/)
464631,167.94.138.62,,2024-11-07 22:48:40,GET /public/img/apple-touch-icon.png HTTP/1.1,200,15718,,Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/)
464717,167.94.138.62,,2024-11-07 22:48:45,GET /favicon.ico HTTP/1.1,302,29,,Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/)
464846,167.94.138.62,,2024-11-07 22:48:54,GET /login HTTP/1.1,200,6726,https://grafana.boilerexams.com/favicon.ico,Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/)
464983,167.94.138.62,,2024-11-07 22:49:02,GET / HTTP/1.1,302,29,,Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/)
465640,199.45.155.104,,2024-11-07 22:50:01,GET / HTTP/1.1,200,1036,,Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/)
465658,199.45.155.104,,2024-11-07 22:50:03,GET /favicon.ico HTTP/1.1,200,4300,,Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/)
475719,167.94.138.61,,2024-11-07 23:03:10,GET / HTTP/1.1,302,29,,Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/)
476332,167.94.138.61,,2024-11-07 23:03:57,GET /login HTTP/1.1,200,6726,,Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/)
476398,167.94.138.61,,2024-11-07 23:04:02,GET /public/img/fav32.png HTTP/1.1,200,3607,,Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/)
476457,167.94.138.61,,2024-11-07 23:04:07,GET /public/img/apple-touch-icon.png HTTP/1.1,200,15718,,Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/)
476587,167.94.138.61,,2024-11-07 23:04:17,GET /favicon.ico HTTP/1.1,302,29,,Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/)
476662,167.94.138.61,,2024-11-07 23:04:23,GET /login HTTP/1.1,200,6726,https://grafana.boilerexams.com/favicon.ico,Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/)
476703,167.94.138.61,,2024-11-07 23:04:33,GET / HTTP/1.1,302,29,,Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/)
517996,199.45.155.111,,2024-11-08 00:03:21,GET / HTTP/1.1,301,178,,Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/)
518128,199.45.155.111,,2024-11-08 00:03:29,GET / HTTP/1.1,200,1036,,Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/)
518193,199.45.155.111,,2024-11-08 00:03:34,GET /favicon.ico HTTP/1.1,200,4300,,Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/)
567873,167.94.146.53,,2024-11-08 01:38:52,GET / HTTP/1.1,302,154,,Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/)
588230,206.168.34.206,,2024-11-08 02:16:09,GET / HTTP/1.1,502,166,,Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/)
589577,199.45.155.111,,2024-11-08 02:18:01,GET / HTTP/1.1,302,154,,Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/)
601384,206.168.34.193,,2024-11-08 02:38:35,GET / HTTP/1.1,200,2354,,Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/)
601394,206.168.34.193,,2024-11-08 02:38:37,GET /skins/elastic/images/favicon.ico?s=1640816963 HTTP/1.1,200,16958,,Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/)
601406,206.168.34.193,,2024-11-08 02:38:38,GET /favicon.ico HTTP/1.1,200,2357,,Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/)
659429,199.45.154.140,,2024-11-08 05:03:24,GET / HTTP/1.1,302,154,,Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/)
680007,206.168.34.124,,2024-11-08 07:32:21,GET / HTTP/1.1,302,154,,Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/)
768733,199.45.155.79,,2024-11-08 17:55:20,GET / HTTP/1.1,301,178,,Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/)
768814,199.45.155.79,,2024-11-08 17:55:30,GET / HTTP/1.1,302,406,,Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/)
768987,199.45.155.79,,2024-11-08 17:55:58,GET /login HTTP/1.1,200,7129,,Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/)
769008,199.45.155.79,,2024-11-08 17:56:03,GET /coolify-transparent.png HTTP/1.1,200,4072,,Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/)
769033,199.45.155.79,,2024-11-08 17:56:06,GET /favicon.ico HTTP/1.1,404,146,,Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/)
769049,199.45.155.79,,2024-11-08 17:56:09,GET / HTTP/1.1,302,29,,Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/)
778078,162.142.125.44,,2024-11-08 18:16:31,GET / HTTP/1.1,302,29,,Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/)
778235,162.142.125.44,,2024-11-08 18:16:55,GET /login HTTP/1.1,200,6726,,Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/)
778265,162.142.125.44,,2024-11-08 18:16:58,GET /public/img/fav32.png HTTP/1.1,200,3607,,Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/)
778296,162.142.125.44,,2024-11-08 18:17:03,GET /public/img/apple-touch-icon.png HTTP/1.1,200,15718,,Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/)
778307,162.142.125.44,,2024-11-08 18:17:05,GET /favicon.ico HTTP/1.1,302,29,,Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/)
778335,162.142.125.44,,2024-11-08 18:17:09,GET /login HTTP/1.1,200,6726,https://grafana.boilerexams.com/favicon.ico,Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/)
778359,162.142.125.44,,2024-11-08 18:17:14,GET / HTTP/1.1,302,29,,Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/)
793973,199.45.155.88,,2024-11-08 18:55:55,GET / HTTP/1.1,302,406,,Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/)
794235,199.45.155.88,,2024-11-08 18:56:38,GET /login HTTP/1.1,200,7129,,Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/)
794262,199.45.155.88,,2024-11-08 18:56:42,GET /coolify-transparent.png HTTP/1.1,200,4072,,Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/)
794310,199.45.155.88,,2024-11-08 18:56:49,GET /favicon.ico HTTP/1.1,404,146,,Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/)
794337,199.45.155.88,,2024-11-08 18:56:56,GET / HTTP/1.1,302,29,,Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/)
794484,162.142.125.45,,2024-11-08 18:57:20,GET / HTTP/1.1,301,178,,Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/)
794545,162.142.125.45,,2024-11-08 18:57:32,GET / HTTP/1.1,302,29,,Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/)
794771,162.142.125.45,,2024-11-08 18:58:09,GET /login HTTP/1.1,200,6726,,Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/)
794781,162.142.125.45,,2024-11-08 18:58:11,GET /public/img/fav32.png HTTP/1.1,200,3607,,Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/)
794800,162.142.125.45,,2024-11-08 18:58:14,GET /public/img/apple-touch-icon.png HTTP/1.1,200,15718,,Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/)
794813,162.142.125.45,,2024-11-08 18:58:18,GET /favicon.ico HTTP/1.1,302,29,,Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/)
794816,162.142.125.45,,2024-11-08 18:58:20,GET /login HTTP/1.1,200,6726,https://grafana.boilerexams.com/favicon.ico,Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/)
794866,162.142.125.45,,2024-11-08 18:58:23,GET / HTTP/1.1,302,29,,Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/)
947117,167.94.145.111,,2024-11-09 01:53:08,GET / HTTP/1.1,302,154,,Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/)
973988,206.168.34.57,,2024-11-09 03:07:05,GET / HTTP/1.1,302,29,,Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/)
974070,206.168.34.57,,2024-11-09 03:07:20,GET /login HTTP/1.1,200,6726,,Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/)
974071,206.168.34.57,,2024-11-09 03:07:20,GET /public/img/fav32.png HTTP/1.1,200,3607,,Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/)
